sample,outcome,AC009242.1,AC004637.1,AC246817.1,AL139241.1,PRDM16-DT,LINC01028,LINC00639,AL135841.1,HYMAI,KCNIP2-AS1,LINC00922,LINC01614,LINC01644,AC104237.3,AC016735.1,AC090125.1,AC008459.1,LINC00958,AC112721.2,LINC00924
TCGA-BH-A201-01A-11R-A14M-07,1,0.3988,1.3971,0.618,0.1441,0.2706,0,0.2019,0.4235,0,0.2728,0.8689,48.5811,4.1185,0.6571,4.9722,1.7074,0.5958,8.5194,2.4894,0.3138
TCGA-C8-A12P-01A-11R-A115-07,1,0.022,0,0.0916,0.053,0.0221,0,0.0393,0,0,0.0502,1.6513,33.5412,0,0,0,0.5024,0,0.3649,2.2892,0.1656
TCGA-BH-A0W3-01A-11R-A109-07,1,0.0367,0,0.0509,0.0883,0.0921,0,0.2729,0,0,0.2508,2.352,12.8974,0.1893,0,0,0.4186,0.0498,0.2146,0.5722,0.1003
TCGA-BH-A0H6-01A-21R-A056-07,1,0.1338,0.1563,0.0619,0,0.2555,0,0.0558,0,0,0.3662,1.8789,86.941,0,0,0,1.0694,0,0.0392,3.7589,0.2381
TCGA-D8-A27V-01A-12R-A17B-07,1,0.1299,0.5056,0.0134,0.6259,0.1378,0.0349,0.2062,0.2299,0.0849,0.4279,0.6987,14.7284,3.5769,0.0951,1.1995,0.0824,0.0196,0.8306,0.9759,0.474
TCGA-D8-A27M-01A-11R-A16F-07,1,0.1722,8.4883,0.2478,2.6272,0.173,0.0926,0.4101,0.4063,0.0483,0.349,0.9262,78.2584,0.0494,0,6.3601,0.8736,0,0.1493,9.6523,0.1571
TCGA-E9-A5FK-01A-11R-A27Q-07,1,0.0867,0,0.01,0,0.7185,0.1573,0.3483,0.115,0,0.0988,0.6555,2.1639,0.2237,0.4283,1.0289,0.1237,0,0.1057,0.4508,1.334
TCGA-BH-A203-01A-12R-A169-07,1,0.079,0.1153,0.0822,0.1428,0.3971,0,0.1882,0,0.0332,0.2703,0.5021,59.3635,0.102,0.2604,0.7037,4.623,0.0134,0.1734,1.9523,0.2973
TCGA-AO-A0JF-01A-11R-A056-07,1,0.1608,0.1565,0.0744,0.0646,0.6464,0.5188,0.5266,0.2846,0.0676,0.3056,3.0814,50.8582,0.2076,0,0.3182,0.6119,0,0.7189,4.3213,4.0522
TCGA-C8-A26V-01A-11R-A16F-07,1,0.1049,0,0.0139,0.0361,0.0226,0,6.2978,0.0795,0,0.0683,0.9066,20.8839,8.9344,0,0,0.3421,0,0.2703,2.8833,0.123
TCGA-A8-A07B-01A-11R-A00Z-07,1,0.0904,0,0,0,0,0,0.1077,0,0,0.2062,4.0495,68.1313,0,0,0,0.7742,0,0.6174,1.1759,0.1856
TCGA-E2-A1IL-01A-11R-A14D-07,1,0.2476,0,0.1963,0.1704,0.4443,0,3.5591,0.1878,0,0.8872,3.125,49.9178,1.5523,0.2331,0,0,0.024,1.2592,2.3916,0.5324
TCGA-A8-A07C-01A-11R-A034-07,1,0.0845,0.2961,0.0078,1.6295,0.0255,0,0.292,0,0.2559,0.0771,0.0819,19.1643,0,0,1.2046,0.0965,0,0.3134,1.4951,0.081
TCGA-EW-A1PB-01A-11R-A144-07,1,0.1747,0,0.018,0,0.0585,0,0.3526,0,0.0653,0.1771,0.0705,5.8179,0,0,0,0.665,0,0.0189,0.404,0.093
TCGA-AN-A0XR-01A-11R-A109-07,1,0.0567,0.1655,0.0131,0,0.1567,0,0.1266,0,0,0.3232,1.235,41.234,9.22,0.1868,0,0.3236,0.077,0.1244,2.6538,0
TCGA-A8-A08X-01A-21R-A00Z-07,1,0.07,0,0.0567,0,0.1408,0,0.0573,0,0.0147,0.0799,0.5934,30.5703,0,0,0.2079,1.6992,0,0.0085,2.4593,0.0599
TCGA-OL-A66N-01A-12R-A31O-07,1,0.0847,0,0.0881,0,0.6701,0,0.3214,0,0.0712,0.1931,3.7403,3.6768,4.0438,0.1395,0.2513,0.3625,0.1581,0.7536,0,0.2607
TCGA-A8-A099-01A-11R-A00Z-07,1,0,0.5153,0.0102,0.1595,0.0333,0,0.0985,0,0,0.0503,0.6677,58.7419,14.0713,0,0,0,0,0.2152,0.8035,0.1359
TCGA-D8-A1X5-01A-11R-A14D-07,1,0,0,0.1131,0,0.0819,0,0.4772,0,0.0228,0.2478,0.822,91.3064,9.8183,0.179,0,0.6202,0,0.3445,2.826,0.1673
TCGA-LL-A73Y-01A-11R-A33J-07,1,0.3198,4.8016,0.1374,12.5495,0.3559,0,0.2381,12.6151,0.7107,0.2605,3.3734,55.1611,0.059,0.4517,6.239,2.4776,0,0,9.7443,0.5627
TCGA-B6-A0WW-01A-11R-A109-07,1,0,0,0,0.1685,0.0527,0,0.4372,0.1856,0,0,0.5501,34.6188,0.2708,0,0,0,0,0.1023,0.7275,0.1675
TCGA-E2-A576-01A-11R-A31O-07,1,0.0215,0.2515,0.01,0.0519,0.2922,0,0.109,0,0.0181,0.0982,2.6852,0.9354,0.3893,0,0.5115,0,0.0439,0.021,0.6722,0.1621
TCGA-A7-A4SC-01A-12R-A266-07,1,0.8893,0.2257,0.0894,0.2795,0.408,0.0936,0.5986,1.2318,0.0975,0.1763,0.4212,17.295,0.5989,0.7645,0.9182,0,3.4396,0.4714,1.8101,0.4497
TCGA-EW-A1J1-01A-11R-A13Q-07,1,0.0182,0,0.084,0,0.0183,0,0.1461,0,0.0153,0.1243,1.0556,19.8839,0.2345,0.1197,0.6472,0.2074,0.0123,0.0532,1.2286,0.1616
TCGA-AR-A1AR-01A-31R-A137-07,1,0.2679,0.0978,0.031,0.0807,0.0926,0,9.3817,0,0.4223,0.2673,0.2027,21.3776,0,0,11.531,1.2425,0.0227,0,2.8741,0.6988
TCGA-EW-A1P6-01A-11R-A144-07,1,0.1238,0,0.0716,0,0.1244,0,0.0461,0,0,0.2823,4.1202,35.7485,0,0,0,0.1766,0,0.0755,0.9658,0.0212
TCGA-E9-A1ND-01A-11R-A144-07,1,0.0981,0,0.0113,0.0591,0.1973,0,0.4894,0,0.0206,0.0559,0.1485,10.7607,0,0,0.8739,1.4004,0,0,1.2761,0.2686
TCGA-GM-A2DL-01A-11R-A18M-07,1,0.0714,0,0.033,0,0.2392,0.2879,0.1346,0.1264,0.04,0.4342,1.0082,88.4708,0.1843,0,0,1.9019,0.0162,0,1.1142,0.5699
TCGA-E2-A109-01A-11R-A10J-07,1,0.1477,0,0.039,0.1017,0.2333,0,0.4335,0,0.0355,0.1925,3.7291,71.5727,0,0,0,0.4818,0.0143,0.1853,1.6465,0.0722
TCGA-A2-A3XS-01A-11R-A22U-07,1,0.2632,0.3074,0.0731,0,0.3263,0,0.1358,0.8386,0.0295,0.08,0.4673,11.0505,0.1359,0.5783,10.0019,0.7012,0,0.3424,0.4564,0.1561
TCGA-E2-A107-01A-11R-A10J-07,1,0.063,0,0.0486,0.0506,0.2637,0,0.3625,0.1115,0,0.3351,1.6771,5.379,0.1084,0.1384,0,0,0,0.1741,0.6552,0.7182
TCGA-E9-A5FL-01A-11R-A27Q-07,1,0.6173,0,0.8959,0,0.7059,0,0.0634,0,0.519,0,0.6183,3.3276,3.1871,0.9819,0,1.2149,0.0145,20.2838,0.3321,0.1602
TCGA-EW-A1PD-01A-11R-A144-07,1,0.0957,0,0.0553,0.0576,0.4208,0.2895,0.4773,0.127,0,0.382,1.5349,55.3834,0.0618,0.1577,0.8523,0.4097,0.0162,0.0817,14.6863,0.3274
TCGA-BH-A1FU-01A-11R-A14D-07,1,0.0562,0.1639,0.1299,0.1353,0.254,0.4756,0.4514,0,0.0472,0.1281,1.4274,61.8214,0.0725,0.185,2.3338,1.1219,0.9915,0.4245,14.6052,0.5187
TCGA-A7-A13D-01A-13R-A277-07,1,0.829,0.9157,0.0933,0.6478,0.0901,0,0.9739,1.3086,0.3014,0.8686,0.1085,72.0039,0,0,2.6604,0.2558,0,0.0219,29.7195,0.0307
TCGA-OL-A5D6-01A-21R-A27Q-07,1,0.0975,0.2846,0.0226,0.1175,0.1837,0,0.0653,0,0,0.0556,3.2751,22.4429,0.0629,0.482,2.3156,0.8349,0,0.0832,0.5072,0.4003
TCGA-A2-A0CX-01A-21R-A00Z-07,1,0.0803,0,0.0278,0,0.1614,0,0.2509,0.4262,0.0169,0.0915,1.1902,52.2036,0.0518,0,0.2383,0.2291,0,0.0685,1.2527,0.151
TCGA-E2-A15D-01A-11R-A115-07,1,0.2168,0.4219,0.0557,0,0.2784,0,0.2797,0,0.0608,0.6592,3.1778,26.5696,3.4203,0,0,0,0,0.0117,0.3759,0.4944
TCGA-OL-A5D7-01A-11R-A27Q-07,1,0.2121,0,0.0368,0.0639,0.0666,0,0.0631,0,0.156,0.5441,0.0642,8.4048,0,0,0.6296,0.454,0,0.0129,0.4137,0.0726
TCGA-E9-A54X-01A-11R-A266-07,1,0,0,0.015,0,0.1797,0,0.358,0,0,0.5188,0.118,0.988,0.2517,0,0,0,0,0,0,0.0222
TCGA-C8-A1HJ-01A-11R-A13Q-07,1,0.21560000000000001,0.1573,0.0249,0.4869,0.0271,0,0.4092,0,0.861,0.36870000000000003,0.0978,11.4685,0,0.0888,6.7193,0.1538,0.0091,0.1971,0.9111,0.1475
TCGA-BH-A5IZ-01A-11R-A27Q-07,1,0.1549,3.1642,0.3462,0,0.0778,0,2.7123,0,0.1302,0.1177,0.0937,2.914,0,0,13.7897,1.0312,0,0.365,0,0.4238
TCGA-A2-A3XU-01A-12R-A22U-07,1,0.1246,0,0,0,0.0268,36.4804,0.0583,0,0.0599,0.0812,0.0431,0.4638,0,0,1.2681,0.3048,0,1.3456,0,0.0609
TCGA-AC-A2B8-01A-11R-A17B-07,1,0.124,0.2069,0.041,0,0.472,0.0429,1.0763,0.1882,0.0149,0.4445,3.6677,80.8038,6.954,0,0.2104,1.315,0,0.121,2.6731,0.7396
TCGA-BH-A204-11A-53R-A157-07,0,0.2754,0.2411,0.1465,0.1658,0.8925,1.6989,1.2583,1.3889,0.4514,3.1082,0,0.7772,0,0.2722,0.6539,0,0.0374,0.3156,0,2.4773
TCGA-AO-A03U-01B-21R-A10J-07,1,0.0162,0,0.1276,2.1106,1.8097,0.0785,0.4009,0.0861,0.0136,0.259,1.5315,19.7257,0.0419,0.2138,17.721,0.5556,0,0.0158,0.1688,0.2442
TCGA-C8-A137-01A-11R-A115-07,1,0.0941,0,0,0,0.3784,0,0.0093,0,0,0.2862,0.8735,55.4592,0,0,0,0,0,0.0459,2.6114,0
TCGA-E9-A1N3-01A-12R-A157-07,1,0.1166,0.0973,0.0077,0.0401,0.067,0,0.4563,0.1769,0,0.4179,0.4839,6.656,0,0,0.5934,0,0,0.5525,0.9532,0.2622
TCGA-A8-A09Q-01A-11R-A00Z-07,1,0.0339,0.3953,0.1096,0.0816,0.034,0,0.2268,0,0.0285,0.2316,1.8027,43.366,17.3475,0,0,0.9661,0.0115,0.3137,4.8421,0.1274
TCGA-A7-A13F-01A-11R-A12P-07,1,0,0.1444,0.0801,0.0596,0.1865,0,0.221,0,0.0208,0,0.6587,27.1802,0,0.4891,0,1.2709,0,0.2292,2.7023,0.3216
TCGA-E2-A15E-01A-11R-A12D-07,1,0.3311,0,0.30620000000000003,0,0.0832,0,0.207,0.1758,0.0557,0.302,1.202,41.6911,1.3675,1.9635,3.1446,0.5669,8.1378,2.228,4.6493,0.3171
TCGA-BH-A0H7-11A-13R-A089-07,0,0.2621,3.5701,0.3535,0.4209,0.4061,0.3171,0.4226,0,0.1102,0.5478,0.0264,4.0781,4.3978,1.2953,3.8897,0.1247,1.1123,1.1716,1.0224,2.1218
TCGA-BH-A0B7-11A-34R-A115-07,0,1.8027,0.6901,0.123,3.6312,0.5198,2.0022,0.4575,1.4122,0.2485,0.7413,0.1431,0.1283,0,8.9589,12.983,0.1687,14.6697,2.6231,0,0.7481
TCGA-BH-A0B7-01A-12R-A115-07,1,0.0854,0.1247,0,0.0514,0.3004,0.5683,0.2988,0.1134,0.053900000000000003,0.0974,0.8786,31.2462,0.0551,0,2.5351,0.8531,0,0.3749,3.887,0.6281
TCGA-A1-A0SJ-01A-11R-A084-07,1,0.1113,0.13,0.0824,0.1073,0.1007,0.1616,0.1922,0.3546,0,0.0508,0.6197,21.0754,1.092,0,1.586,0.1271,0.0302,0.1411,3.4739,0.4265
TCGA-A7-A4SA-01A-11R-A266-07,1,0.2331,0.5102,0,0,0.5709,0,0.5638,0.3094,0,0.3986,1.7983,22.3924,2.3315,0,0.3459,0,0.1385,0.2699,0.6061,0.6976
TCGA-A8-A07W-01A-11R-A00Z-07,1,0.0455,0.1329,0.0316,0,0.0801,0.0551,0.2982,0.1208,0,0.1038,0.1653,239.2922,0.0588,0.15,0,0.1299,0.0309,0.0666,26.0456,0.1557
TCGA-OL-A5RV-01A-12R-A28M-07,1,0.9516,2.037,0.1467,0.1528,0.3985,0.0767,0.4249,0.1684,0.08,0.5063,1.3053,14.6005,6.2234,2.7174,4.5193,0,2.4123,0.3867,2.8047,0.217
TCGA-A8-A076-01A-21R-A00Z-07,1,0.0379,0.3315,0.0613,0,0.038,0,0.524,0,0.0159,0.1726,1.6721,83.748,1.0749,0,0.2247,1.0803,0,0.443,2.461,0.4273
TCGA-AR-A1AJ-01A-21R-A12P-07,1,0.1007,0.147,0.0699,0.0607,0.6834,1.5845,2.2645,0.1337,0.0635,0.402,0.2134,30.7342,0.5852,0,6.5791,1.2939,0,0,4.9782,0.5687
TCGA-BH-A0AZ-01A-21R-A12P-07,1,0.0534,0,0.1358,0.0643,0.2951,0.0646,0.3735,0.1417,0,0.0609,13.4706,125.7556,2.2738,1.583,0.3169,1.0664,0.1269,0.7029,3.8872,0.2009
TCGA-BH-A8FZ-01A-11R-A352-07,1,0.421,1.2288,0.1825,1.141,0.4231,0,0.7363,0.1397,0.3318,0.3,1.0827,13.4818,2.2414,0.8669,3.1239,1.3516,1.9652,0.6416,2.1896,0.648
TCGA-AO-A1KT-01A-11R-A13Q-07,1,0.0362,0.4228,0.0921,0,0.0819,0,0.345,0,0.0304,0.0413,3.0901,68.7242,1.3556,0,0,1.447,0,0.106,1.9779,0.3469
TCGA-A7-A5ZW-01A-12R-A29R-07,1,0.1511,0.3528,0.2096,0.2184,0.4251,0,0.072,0,0.0508,0.0689,7.4239,30.573,0.078,0.1991,1.0763,3.1044,0,0.6926,0.7858,0.6202
TCGA-GM-A3XL-01A-11R-A22U-07,1,0.1394,0,0,0.042,0.0263,0,0.1245,0.2775,0.0146,0.1192,0.0211,2.9504,0,0,57.7086,1.4915,0.0237,0.034,0.3624,0.0596
TCGA-AN-A0FX-01A-11R-A034-07,1,0.3332,0.7295,0.0963,0.7024,0.1151,0,0.1674,7.8502,0,0.3799,1.235,36.7154,0,0.4117,3.2143,1.1886,0.198,0.2539,4.9826,0.2137
TCGA-A2-A1FX-01A-11R-A13Q-07,1,0.1028,0.2402,0.0666,0,0.124,0,0.3736,0.2184,0.0519,0.1876,0.9958,22.9569,41.2089,0,0,0.2348,0,0.2207,1.4979,0.6896
TCGA-D8-A1JU-01A-11R-A13Q-07,1,0.1114,0.6506,0.402,0.1074,0.4927,2.7501,0.3782,0.4733,0.0749,0.6607,4.1809,29.2276,0.0575,0.4406,0.2646,0.636,0,0.1304,1.6229,1.9517
TCGA-A8-A0AD-01A-11R-A056-07,1,0,0,0.079,0,0.1717,0,0.2035,0,0,0.1299,6.8254,143.8436,0.3676,0,0,0.3251,0,0.0139,3.5555,0.1169
TCGA-EW-A2FR-01A-11R-A21T-07,1,0.1695,0.8794,0.4355,0.0454,1.107,0,0.2859,0,0.095,0.3864,4.1705,303.527,1.507,0.2482,6.0364,3.5468,0,0.0184,11.753,0.3092
TCGA-E9-A1NH-01A-11R-A14D-07,1,0.2955,0.1725,0.1777,0,0.1485,0,0.2815,0.1569,0.1242,0.2695,8.8696,122.0338,1.602,0.1947,0.7017,1.3493,0.0401,0.1297,1.2296,0.4246
TCGA-BH-A203-11A-42R-A169-07,0,0.855,0.9287,0.6254,2.1079,0.8293,0.7217,1.2136,2.1115,0.3176,3.7183,0.0722,0.0864,0.0513,4.7175,4.9581,0,2.7546,4.1021,0,1.1972
TCGA-GM-A2DD-01A-11R-A180-07,1,0.0927,0.1082,0.0086,0,0.1304,0.1794,0.1932,0.1969,0.0312,0.0423,5.5422,11.5929,0.0479,0.1222,0,2.2222,0.0755,0.0362,0.4821,0.3932
TCGA-A2-A04R-01A-41R-A109-07,1,0.1752,0.1279,0.0304,0,0.011,0,0.163,0,0.0368,0.2997,0.5037,50.4177,1.1876,0.5774,0.5202,0.125,0.2975,0.1602,5.5832,0.0599
TCGA-AO-A0J4-01A-11R-A034-07,1,0.121,26.7484,0.049,1.1658,0.0836,0,0.0765,2.5691,0.0509,0.3793,0.366,38.0194,0.1171,0.0996,15.7992,3.0208,0.0205,0.0811,3.0674,0.1448
TCGA-BH-A0RX-01A-21R-A084-07,1,0.0805,0.5875,0.0279,0.0485,0.1315,0.0487,0.2157,0.2137,0.0508,0,0.1461,13.6335,0,0.2653,0.9558,0.3446,0.0957,6.9587,0.6281,0.7986
TCGA-A8-A090-01A-11R-A00Z-07,1,0,0,0.0836,0.0726,0.0757,0,0.0987,0,0.1267,0.8246,0.3647,74.4599,11.5916,0,0.7156,0.86,0,0.1176,2.5079,0.1031
TCGA-AO-A12B-01A-11R-A10J-07,1,0.0247,0,0.6522,0,0.0497,0,0.0516,0,0,0.0564,0.1198,6.1231,27.7163,0,0,0,0,0.0241,0.386,0.2031
TCGA-EW-A6SA-01A-21R-A32P-07,1,0.1435,0.1197,0,0.0988,0,0,0.0488,0,0,0.5141,0.3473,7.9213,0.8466,0,0,0,0.0139,0.01,0.7462,0.5048
TCGA-AC-A2FE-01A-11R-A19W-07,1,0.1023,0.239,0.142,0.0986,0.3497,0.099,0.4631,0.1087,0.0172,0.28,1.7588,30.2187,3.4345,0.2698,0.243,0.2336,0.0278,0.2096,6.8132,0.252
TCGA-GM-A5PX-01A-12R-A28M-07,1,0.1487,0.868,0.0458,0,1.544,0.1799,0.4279,0.2631,0.0417,0.2825,4.9186,23.4584,0,0.8165,1.7653,0,0,1.1118,0,1.7462
TCGA-BH-A18M-11A-33R-A12D-07,0,1.0072,2.2483,0.6714,0.3569,0.9973,0.7168,1.9314,1.4156,0.2242,1.959,0.2151,10.2914,0.4589,2.1475,1.7587,0,8.8309,1.0402,1.0786,2.2902
TCGA-BH-A1FJ-01A-11R-A13Q-07,1,0.0422,0,0.0586,0,0.0743,0,0.1132,0.1121,0,0.3371,0.5623,47.136,22.8975,0.1392,0,0.3616,0,3.6767,0.5492,0.13
TCGA-BH-A1FJ-11B-42R-A13Q-07,0,0.1486,2.8917,0.5346,0.5967,0.7716,13.6624,1.4648,0.9643,0.1666,0.4518,0.02,0.2868,0.5541,1.1969,4.7048,0,0.5382,1.2078,0,8.2574
TCGA-S3-A6ZH-01A-22R-A32P-07,1,0.1046,0.1222,0.1258,0.0504,0.0736,0.1013,0.1869,0.1111,0,0.3817,0.2026,9.5408,4.7537,0,0.2484,0,0.0426,0.15310000000000001,3.7004,0.1718
TCGA-BH-A0EB-01A-11R-A034-07,1,0.0393,0.1147,0.2271,0.0947,0.227,0,0.2866,0.1043,0,0,3.8753,19.961,0.1521,0,0.4665,0.897,0,0.2203,2.2478,0.4569
TCGA-E2-A158-01A-11R-A12D-07,1,0.2712,3.0533,0.0179,8.7733,0.0389,0,0.0577,1.2341,0,0.4859,3.4931,4.6263,0,0,0.69,0,0,0,0,0.0265
TCGA-LL-A5YN-01A-11R-A28M-07,1,0.0494,0.1441,0.0685,0,0.1984,0,0.2424,0,0,0.1688,2.2101,4.1792,6.052,0.9757,2.6369,0.986,0,0.1203,0,0.1351
TCGA-BH-A0C1-01B-11R-A12D-07,1,0.123,0.1437,0.1707,0,0.136,0,0.1831,0,0.0414,0.1122,3.3952,104.5065,3.4304,0.1622,0,3.9327,0.0167,0.048,2.9438,0.6566
TCGA-E2-A106-01A-11R-A10J-07,1,0.069,0.1342,0.0744,0,0.0924,0,1.0401,0.6102,0.0193,0,0.5007,8.1844,0.4154,0,0.5458,0,0.0312,0.2242,0.2391,0.0472
TCGA-A7-A13D-01B-04R-A277-07,1,8.9847,13.6699,1.8386,7.2154,0.4925,3.2938,4.4581,7.5169,3.6167,5.3394,2.109,94.5861,0.7029,1.7943,4.5258,2.4865,0.9614,1.2747,21.809,1.8255
TCGA-D8-A27P-01A-11R-A16F-07,1,0.3692,0.3316,0.1445,0.2053,0.0428,0.1374,0.3974,0,0.0478,0.1943,1.0999,19.1159,7.3318,1.4973,4.0464,0,0,0.7895,2.3635,0.4663
TCGA-BH-A0AW-01A-11R-A056-07,1,0,0,0.0229,0,0.0997,0,0.1772,0,0.0208,0,1.0203,15.5053,0,0.3268,0.8832,1.2738,0,0.4958,1.1607,0.4071
TCGA-BH-A18H-01A-11R-A12D-07,1,0.0514,0.3,0.0119,0,0.3098,0,0.2524,0.1364,0,0.2343,0.7152,14.6148,3.5152,0.1693,0.305,0.8798,0,0.0125,1.8708,0.1406
TCGA-AO-A129-01A-21R-A10J-07,1,0.214,12.9501,0.045,0.7969,0.1173,0,0.1506,0.1033,0.1799,0.1331,0.259,4.9853,0.0502,0.5129,14.5548,1.777,0.0132,0.484,0.4048,0.2662
TCGA-C8-A3M8-01A-11R-A213-07,1,0.0581,0.2544,0.0202,0.035,0.5693,0,0.2854,0.3085,0.0366,0.2981,0.4219,33.3056,0.0375,0.1915,0,0,0.0197,0.0283,1.8889,0.636
TCGA-A8-A07Z-01A-11R-A00Z-07,1,0,0,0.0583,0.076,0.0158,0,0.0751,0,0,0.1438,0.1527,7.395,19.7019,0,0,1.44,0,0.0923,1.3122,0.0432
TCGA-A2-A0ES-01A-11R-A115-07,1,1.9543,0.9983,0.3503,0.2943,0.1228,0.5911,0.7055,0.2594,0.4313,0.4457,1.1827,14.6397,1.0721,3.2198,4.9309,0,1.41,3.1691,2.1601,1.6881
TCGA-AN-A0XT-01A-11R-A109-07,1,0.2144,0,0,0,0.5252,0,2.0427,0.4269,0.0225,0.0611,0.4217,5.2375,0,0,0,0,0.0182,0,0.5576,1.4303
TCGA-D8-A1JM-01A-11R-A13Q-07,1,0.2888,0.5619,0.0356,1.2522,0.0193,0,0.5445,0,0.2913,0.4829,0,1.0032,0.5964,0,0,0,0,0.4319,0.1001,0.1712
TCGA-AN-A0XU-01A-11R-A109-07,1,0.4169,0.2562,0.0812,0.3172,0.0992,0,1.9337,0.5825,0.4428,0.4003,0.1062,16.4854,1.303,0,4.6898,2.2545,0,1.1879,0.9131,0.0601
TCGA-JL-A3YW-01A-12R-A239-07,1,0.0342,0,0.166,0,0.6612,0,0.056,0,0.1437,0,2.8541,50.3855,0.0882,0,0.8116,5.5595,0,0.0083,0.6222,0.3157
TCGA-GM-A2DB-01A-31R-A18M-07,1,0.1661,0,0.0549,0.1144,1.6577,0.0574,0.0565,0,0.02,0.1082,0.1436,6.1839,2.7572,0,0.5636,1.3547,0,0.1042,1.2345,0.0812
TCGA-BH-A0W4-01A-11R-A109-07,1,0.1916,0.979,0.0997,0.1731,0.1565,0.058,0.3495,0,0.0806,0.1093,2.0585,69.1776,0,0.3157,1.1377,0.8204,0.2928,0.4673,7.4761,0.1967
TCGA-A2-A0T3-01A-21R-A115-07,1,0.1549,0.9042,0.0614,0.0533,0.1557,0.1071,0.3557,0.1175,0,0.3027,0.1607,47.0812,0.3999,0.2916,0.7881,0.3789,0.1202,0.3993,6.0997,0.1665
TCGA-AC-A62Y-01A-11R-A29R-07,1,0.4973,0,0.0548,0.057,0.119,0.0573,0.4723,0,0,0.27,1.0317,25.9131,1.406,0,0.2812,0.5406,0,0.0115,0.1232,0.3888
TCGA-AR-A5QN-01A-12R-A28M-07,1,0.4502,0.2503,0.1487,0.2582,0.4955,0.3112,0.4723,0.1138,0.1442,0.0978,1.0638,23.2742,3.5975,0.1413,1.5273,0,0,0.1359,0.8921,1.0854
TCGA-A1-A0SQ-01A-21R-A144-07,1,0,0,0,0,0.0949,0,0.4005,0,0,0.1615,0.1143,4.2024,0.3047,0.6222,0,0,0.0321,0.4259,0.8594,0.436
TCGA-B6-A0IO-01A-11R-A034-07,1,0.0344,0.1004,0,0.0414,0.0432,0,3.6764,0.0913,0.0434,0.2353,1.4155,6.2737,8.7026,0,1.021,0.4908,0.0117,0.0336,0.8051,0.1765
TCGA-AC-A7VC-01A-11R-A352-07,1,0.15,0.1751,1.1793,0.1445,0.1357,0,0.0357,0,0.4287,0.5472,1.1255,224.7098,0,0,9.2605,0.3424,0,0.7754,4.2128,16.193
TCGA-A2-A3KC-01A-11R-A213-07,1,0.3102,0.3019,0.0478,0.6851,0.6885,0.0626,1.0313,0.4118,0.1521,0.2358,3.9424,21.4421,2.6028,0.1704,3.0695,0.2951,0.0176,0.5169,4.5718,0.7959
TCGA-D8-A1XG-01A-11R-A14D-07,1,0.418,1.3014,0.1804,0.2014,0.182,0,0.1825,0,0.0469,0.1906,0.2698,63.0407,0.1439,0.7345,3.6392,0.4771,0,0.8289,3.3334,0.3431
TCGA-BH-A0H7-01A-13R-A056-07,1,0.0547,0,0.1349,0.0439,0.0366,0,0.0814,0.0968,0.0153,0,1.2356,118.9056,11.5775,0,0,10.8217,0.0248,0.0711,5.0256,0.1621
TCGA-BH-A0E0-11A-13R-A089-07,0,0.3127,1.695,0.3615,0,0.2918,0,0.2793,0.5929,0,0.8148,0.2162,0.2909,0,1.1774,1.0607,0,5.323,2.3526,0.3485,0.382
TCGA-BH-A18U-11A-23R-A12D-07,0,1.1861,10.6679,0.6376,1.3902,0.7088,1.2411,1.5366,1.1914,0.4043,0.4386,0.0388,1.2529,0.2483,3.3802,8.7545,0.183,2.2422,1.7979,0,2.0178
TCGA-E2-A14U-01A-11R-A22K-07,1,0.6334,2.9583,0.4101,0,0.2334,0.2554,0.176,0,0.1775,0.2889,0.2044,0.1834,0.3816,1.1131,6.7686,0,1.8352,1.977,0,0.4334
TCGA-A7-A26E-01A-11R-A277-07,1,0.0965,0.0939,0.2679,0.2714,0,0.0389,0.2922,0,0.1488,0.1101,2.7069,18.5863,0,0.2121,0.9552,0,0.0328,0.2746,0.7532,0.0881
TCGA-BH-A1F0-01A-11R-A137-07,1,0.2603,0.4834,0.0821,0.5985,0.2675,0.5725,0.5705,2.638,0.0995,0.1079,0.0859,17.8774,0.0611,0.1559,1.9664,0.2701,0.008,0.2481,2.0921,1.6511
TCGA-BH-A18K-11A-13R-A12D-07,0,2.8364,3.8864,0.9638,1.2551,0.7126,0.07,0.5859,1.844,0.292,1.386,0.3503,0.5027,0,11.4442,6.5293,0.1652,16.6859,6.5212,0.3011,0.9505
TCGA-BH-A0HF-01A-11R-A056-07,1,0.0785,1.0697,0.0242,0,0.2499,0,0.2883,0.139,0,0.0597,3.2314,48.3095,7.3658,0.345,0,9.4127,0.0355,4.2254,1.3615,1.0387
TCGA-AR-A0TT-01A-31R-A084-07,1,0.1108,0,0.0717,0,0.1336,0,0.2375,0,0,0.3032,0.3754,21.1685,0,0,0,0.1265,0,0,2.4203,0.1364
TCGA-EW-A1P7-01A-21R-A144-07,1,0.206,5.2126,0.2541,6.4533,0.1726,0.6647,0.2658,0.3647,0.0962,0.2088,0.4988,23.7608,0.1182,0.9052,1.9028,1.8294,0.0155,0.6141,3.2152,0.7048
TCGA-BH-A1FL-01A-11R-A13Q-07,1,0.1495,0.2494,0.0593,0.0515,0.2791,0.1034,0.2289,0.1134,0,0.5845,2.8698,26.716,1.875,0,0.2536,0,0,0.0417,0.5556,0.5408
